sample_id,Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Mitochondrion
P11111111111111,2.126314994255554e-05,2.420858428589557e-05,0.0002830842517302305,8.069528095298524e-05,0.00014056597327294202,0.00013783274601485704,0.00021084895990941305,8.590142811124236e-05,5.466454516169968e-05,0.000800445125582031
P11111111111112,1.0350247816463286e-05,8.408148336552954e-06,3.626013970138461e-05,1.4013580560921592e-05,8.408148336552954e-06,1.2612222504829429e-05,2.3647917196555182e-05,2.2071389383451504e-05,2.3122407925520623e-05,0.00045298899163179033
P11111111111113,1.1467139992231575e-05,4.481927918532341e-06,0.00018401761742435667,1.867469966055142e-05,2.4995367237968825e-05,1.835866628168055e-05,4.783596143818171e-05,4.309546075511867e-06,0.00011204819796330851,0.00041974978775485584
P41019061105623,3.2195989258222525e-05,4.027140147254463e-06,2.7426213071819186e-05,8.100569261718747e-06,1.1109352130357138e-05,1.909419897405133e-05,8.679181351841514e-06,9.026348605915176e-06,5.554676065178569e-06,0.000743632258225781
P41019061105624,0.00010391062778959685,8.927777044875118e-05,0.00035741787825702793,0.0002710035414538266,0.0005506996493316439,0.00012455936358141917,0.00044638885224375596,0.0006488745171790678,7.516513319568399e-05,0.0004770684984460759
P41019061105630,3.7730335921349133e-06,3.7574746907240475e-06,4.875770729630015e-05,4.353899244807229e-05,5.63621203608607e-05,2.2992166559906674e-05,2.5944468102618426e-05,3.578547324499093e-06,1.34195524668716e-05,0.00030238724892017336
P41019061105632,1.033010421927368e-05,8.69619231008137e-06,4.891608174420772e-05,2.950493819491894e-05,0.00011180818684390334,4.674203366668737e-05,1.2423131871544816e-05,5.590409342195167e-05,1.2423131871544815e-05,0.0003462948009193117
P41019061105633,9.413049965902075e-06,5.3095174014855655e-06,6.911526962278625e-05,5.919806757978159e-05,4.577170173694454e-05,2.032263557120338e-05,4.622941875431399e-05,5.4926042084333435e-06,2.01395487642556e-05,0.00046046331947366203
P41019061105634,1.0804736796611634e-05,7.176602443709478e-06,0.00012291840355715172,3.5628522770188905e-05,7.405642947232122e-05,1.3589736542343481e-05,5.458798667289657e-05,3.740994890869835e-05,1.3742430211358576e-05,0.00022751356683249198
P41019061105638,4.815905635523125e-06,1.827065230796403e-06,1.8651290897713275e-05,2.5122146923450536e-05,1.5986820769468523e-05,1.2637201179675118e-05,1.1799796282226766e-05,8.374048974483509e-06,9.896603333480513e-06,0.000347903671030815
P41019061105642,9.103379538619917e-06,6.281331881647743e-06,2.6172216173532264e-05,2.293184655204732e-05,2.0937772938825808e-05,8.599442457017742e-06,2.65461049760113e-05,3.963221306277743e-05,2.0189995333867744e-05,0.00034622103109558386
P41019061105644,2.092922852454823e-05,5.267847330518366e-06,0.00013623743096168186,3.088048435131456e-05,1.1807244016679095e-05,3.7601530945424184e-05,4.541247698722729e-05,3.632998158978183e-06,9.264145305394368e-05,0.00031516259029135737
P41019061105645,3.851694242606667e-06,8.437044531424125e-06,2.917811233784176e-05,1.4061740885706875e-05,5.554387649854215e-05,1.0194762142137482e-05,1.0194762142137482e-05,2.9529655859984437e-05,1.4061740885706873e-05,0.0008254241899909935
P41019061105647,7.7274809471498e-06,5.0890742202921436e-06,3.662591294907225e-05,2.7244538755099356e-05,1.8505724437425975e-05,1.364797177260166e-05,4.89630625740229e-05,1.079500592183182e-05,1.1566077773391235e-05,0.0005335817212791156
P41019061105649,1.345398827305535e-05,7.220307039873039e-06,2.0997831697589964e-05,1.891032796157225e-05,1.3261788440583135e-05,1.0977813764704927e-05,4.6784642554279395e-05,1.62088525384905e-05,7.367660244768408e-06,0.0005835186913856579
P41019061105650,3.990042557390429e-06,2.371609565010716e-06,9.305989706183353e-05,3.0934037804487606e-06,2.784063402403884e-05,1.0569129583199929e-05,3.6089710771902204e-05,1.4951451605502341e-05,0.00012786068959188212,0.0004212184814377728
P41019061105651,1.2063944353305454e-05,1.312764697370443e-05,2.6479060657187906e-05,2.5857486463357206e-05,1.9393114847517905e-05,2.3047971107242436e-05,9.062551746051637e-05,2.0139003880114747e-05,8.95066839116211e-06,0.00019766059363816329
P41019061105653,7.178438023160715e-06,2.3586296361813787e-05,0.00015703507840891811,7.36554517965413e-05,0.0003730358977223707,5.263468240741603e-05,7.168992709972349e-05,0.00014213847018040415,2.979321645702794e-05,0.0006871060545402068
P41019061105655,6.224283487309259e-06,5.750300393296588e-06,7.966562003212981e-05,1.757036231285068e-05,8.38585474022419e-06,2.0485445151119092e-05,1.976665760195702e-05,7.187875491620733e-06,5.3909066187155496e-05,0.0003090786461396916
P41019061105656,2.316957498329337e-05,3.0378707072044205e-05,7.085536426021483e-05,2.9134141791625268e-05,2.8002718809426227e-05,1.620763422000124e-05,6.958251340524093e-05,0.00023675025902514902,2.291131538953055e-05,0.00034451829807960753
P41019061105657,8.65829164546287e-06,7.412459680921269e-06,2.6552094379419467e-05,1.7332617164343264e-05,0.00015267454268166197,1.8143931159269972e-05,2.4062835531348896e-05,3.319011797427434e-06,2.212674531618289e-05,0.00031475295212270166
