Geneid	L11B	L12B	L13B	L14B	L15B	L1A	L2A	L3A	L4A	L5A	L1N	L2N	L3N	L4N
Gfra1	18	46	14	82	76	12	8	44	125	96	21	15	22	6
LOC110341620	2	8	1	6	8	1	0	0	16	12	3	2	3	0
LOC106021508	35	67	52	135	124	39	24	77	171	123	62	80	77	45
LOC101822696	13	23	7	30	22	16	3	28	45	29	5	11	12	6
Trub1	6	11	5	23	18	5	4	25	30	25	9	14	5	2
LOC110341621	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Fam160b1	1	4	2	6	7	2	1	8	14	12	5	7	1	2
Ablim1	12	20	6	27	38	8	7	16	46	40	11	14	10	5
Afap1l2	7	14	8	11	17	15	11	12	26	35	21	28	25	19
Vwa2	0	0	1	0	0	0	0	1	0	2	1	0	0	0
Tdrd1	3	3	1	5	2	0	0	1	4	3	2	1	2	1
Ccdc186	19	25	35	39	49	54	16	30	55	62	47	63	73	22
Adrb1	5	8	7	7	1	11	0	5	14	10	11	30	14	10
Nhlrc2	4	4	3	10	5	12	5	5	14	7	5	7	8	3
Dclre1a	8	10	9	14	11	20	8	19	41	40	24	25	29	12
LOC106022661	0	1	0	1	2	0	0	0	2	1	1	1	1	0
Plekhs1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Casp7	9	18	13	21	13	11	7	8	17	19	24	36	46	17
Nrap	5	9	3	10	18	1	4	7	21	16	6	3	5	3
Habp2	0	1	1	0	0	0	0	0	2	1	0	0	0	0
LOC110341623	2	1	0	2	7	0	1	1	6	3	2	0	1	0
Tcf7l2	57	62	69	92	91	103	42	64	146	147	118	126	135	86
LOC110341298	1	0	2	4	0	1	0	3	4	9	1	0	1	1
Vti1a	31	72	45	102	74	58	27	67	145	137	65	81	87	24
Zdhhc6	3	5	0	8	17	2	1	7	22	13	3	4	3	1
Acsl5	16	27	9	44	40	17	15	26	66	49	16	18	28	16
LOC101836071	4	11	1	12	6	1	6	12	18	15	3	6	2	1
Tectb	0	0	0	0	0	1	0	1	5	1	0	1	3	0
LOC106021500	0	0	0	0	0	0	0	0	0	0	0	0	1	0
LOC106021209	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gpam	13	31	13	44	47	33	11	22	55	37	18	39	20	8
LOC110341624	1	1	0	0	0	0	0	1	0	1	0	0	1	0
LOC110341523	2	6	1	26	14	2	3	14	36	19	4	6	3	2
LOC110341527	0	1	1	2	4	2	1	2	3	5	0	0	0	0
LOC110341627	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110341629	1	0	0	4	6	1	0	1	9	0	1	1	2	0
LOC110341630	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Adra2a	0	0	0	0	0	0	0	0	0	0	1	0	3	0
Shoc2	6	8	5	23	17	5	5	13	31	24	8	13	12	2
Bbip1	21	30	31	41	42	70	40	47	90	83	54	59	36	28
Pdcd4	54	83	61	92	70	120	57	55	120	103	123	186	157	81
Rbm20	18	32	11	50	45	6	10	56	91	62	10	22	20	7
LOC110341639	2	0	0	1	0	1	0	0	0	2	1	0	1	0
LOC110341659	0	1	1	1	1	0	0	2	8	4	0	0	1	0
Smc3	32	40	45	55	75	95	50	38	102	100	64	111	105	39
Dusp5	5	6	5	16	9	26	14	11	32	31	14	15	16	6
Smndc1	50	62	56	75	61	160	58	58	124	147	89	127	135	49
Mxi1	20	42	21	62	47	59	24	28	84	87	32	78	44	25
Add3	70	123	81	119	120	148	50	78	161	155	155	209	158	65
LOC110341813	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110341631	0	0	0	1	0	0	0	0	3	0	1	2	0	0
Xpnpep1	25	34	36	39	54	55	35	36	98	95	39	57	50	19
Sorcs1	12	60	13	89	74	11	11	69	126	101	27	23	25	13
LOC101842026	6	7	8	18	11	26	15	8	20	24	21	24	23	9
Sorcs3	29	52	20	96	87	18	10	73	158	121	27	25	21	7
LOC101827188	1	2	1	3	0	5	3	3	5	2	1	2	0	3
LOC110341821	1	0	0	1	0	0	0	3	3	2	0	1	1	0
Cfap58	7	17	6	32	21	3	4	25	47	40	8	8	9	4
Itprip	9	16	1	18	17	5	4	15	31	19	6	11	12	9
LOC110341940	1	1	0	3	2	4	0	1	3	1	1	1	4	0
LOC101842834	12	6	10	20	13	13	9	14	27	28	10	9	15	10
LOC101843100	36	47	45	49	48	78	44	50	56	84	65	73	60	31
LOC101827709	16	21	23	24	23	50	29	27	25	42	32	48	37	15
Cfap43	24	40	24	57	64	26	21	61	119	97	29	38	33	19
Sfr1	62	56	77	85	66	162	70	77	120	150	141	184	194	96
Col17a1	2	8	4	17	6	6	2	16	42	21	5	0	5	2
Slk	29	51	29	52	48	71	35	40	82	89	54	73	60	29
Stn1	13	12	14	25	23	22	12	21	45	32	22	28	14	16
Sh3pxd2a	29	64	38	76	77	55	35	73	107	109	104	162	128	60
Neurl1	2	3	4	12	10	5	5	10	23	13	1	6	4	3
Calhm3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Calhm1	0	0	1	0	0	0	0	1	2	1	0	1	0	0
Calhm2	4	4	3	7	8	14	6	8	11	8	9	10	7	7
